# Created: Mon Aug 04 00:38:53 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.1
#	input:	input/terasort-2dim.csv
#	output:	results/terasort-2dim/out-0.1.csv
#	metrics-output:	results/terasort-2dim/metrics-0.1.csv
#
# Points picked
# 	(10.0, 7.0)
# 	(30.0, 6.0)
# 	(40.0, 6.0)
# 	(40.0, 2.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
# 	(50.0, 10.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
10.0	2.0	197.7700	142.4150	142.4150	266.0948	312.4885	239.3454	305.0325	197.7700	258.3775	142.4150	
20.0	2.0	378.2800	467.6500	142.4150	310.1486	312.4885	301.8631	305.0325	305.6088	339.6862	223.7238	
30.0	2.0	439.7700	467.6500	467.6500	366.2637	312.4885	394.6906	305.0325	442.4613	420.9950	305.0325	
40.0	2.0	646.0500	467.6500	467.6500	418.5732	312.4885	516.3204	305.0325	564.7590	502.3037	386.3413	
50.0	2.0	644.2200	467.6500	467.6500	451.5163	312.4885	646.8832	305.0325	644.2200	583.6125	467.6500	
10.0	3.0	121.6500	142.4150	142.4150	255.0928	312.4885	196.4413	305.0325	168.0271	229.3869	142.4150	
20.0	3.0	219.5600	467.6500	142.4150	298.7451	312.4885	247.2135	305.0325	258.4686	310.6956	223.7238	
30.0	3.0	290.4400	467.6500	467.6500	355.3501	312.4885	327.6337	305.0325	388.2838	392.0044	305.0325	
40.0	3.0	379.0900	467.6500	467.6500	408.8276	312.4885	443.2537	305.0325	521.5217	473.3131	386.3413	
50.0	3.0	485.7900	467.6500	467.6500	443.3496	312.4885	582.4510	305.0325	618.5781	554.6219	467.6500	
10.0	4.0	105.3100	142.4150	142.4150	243.1602	312.4885	164.9433	305.0325	144.6849	200.3963	142.4150	
20.0	4.0	172.0700	467.6500	142.4150	285.1584	312.4885	205.2602	305.0325	217.7636	281.7050	223.7238	
30.0	4.0	234.2300	467.6500	467.6500	340.8373	312.4885	272.4111	305.0325	334.6810	363.0137	305.0325	
40.0	4.0	308.7800	467.6500	467.6500	394.2907	312.4885	376.7422	305.0325	472.3340	444.3225	386.3413	
50.0	4.0	374.3800	467.6500	467.6500	429.7920	312.4885	516.3204	305.0325	586.2614	525.6312	467.6500	
10.0	5.0	100.1100	142.4150	142.4150	230.9239	312.4885	142.1576	305.0325	126.8153	171.4056	142.4150	
20.0	5.0	150.1000	467.6500	142.4150	270.1754	312.4885	173.8856	305.0325	184.0910	252.7144	223.7238	
30.0	5.0	199.1300	467.6500	467.6500	323.6484	312.4885	228.7774	305.0325	284.5410	334.0231	305.0325	
40.0	5.0	256.9800	467.6500	467.6500	375.9643	312.4885	319.5376	305.0325	419.1917	415.3319	386.3413	
50.0	5.0	306.4200	467.6500	467.6500	411.8379	312.4885	452.6606	305.0325	546.9022	496.6406	467.6500	
10.0	6.0	90.7600	142.4150	142.4150	219.1662	312.4885	125.7580	305.0325	113.3933	142.4150	142.4150	
20.0	6.0	125.4400	467.6500	142.4150	254.8225	312.4885	150.7478	305.0325	157.2107	223.7238	223.7238	
30.0	6.0	174.1600	467.6500	467.6500	305.0325	312.4885	195.2216	305.0325	240.0426	305.0325	305.0325	
40.0	6.0	247.1600	467.6500	467.6500	355.2425	312.4885	272.4111	305.0325	364.8846	386.3412	386.3413	
50.0	6.0	296.7600	467.6500	467.6500	390.8988	312.4885	394.6906	305.0325	500.9149	467.6500	467.6500	
10.0	7.0	80.2900	142.4150	142.4150	208.7484	312.4885	113.9402	305.0325	103.4557	113.4244	142.4150	
20.0	7.0	122.0600	467.6500	142.4150	240.2530	312.4885	133.7762	305.0325	136.3563	194.7331	223.7238	
30.0	7.0	152.8100	467.6500	467.6500	286.4166	312.4885	169.8225	305.0325	202.3569	276.0419	305.0325	
