# Created: Sat Aug 02 18:50:49 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/terasort-2dim.csv
#	output:	results/terasort-2dim/out.csv
#	metrics-output:	results/terasort-2dim/metrics.csv
#
# Points picked
# 	(10.0, 3.0)
# 	(30.0, 10.0)
# 	(20.0, 5.0)
# 	(10.0, 9.0)
# 	(50.0, 6.0)
# 	(50.0, 10.0)
# 	(30.0, 4.0)
# 	(50.0, 9.0)
# 	(30.0, 5.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
# 	(50.0, 2.0)
# 	(10.0, 10.0)
# 	(50.0, 10.0)
# 	(50.0, 7.0)
# 	(30.0, 10.0)
# 	(30.0, 3.0)
# 	(50.0, 3.0)
# 	(50.0, 8.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
10.0	2.0	197.7700	181.3775	420.9950	250.3186	265.8077	123.2150	294.7355	174.2463	197.6049	418.5987	
20.0	2.0	378.2800	181.3775	420.9950	290.1833	265.8077	152.5972	314.0447	238.8184	228.0340	418.5987	
30.0	2.0	439.7700	181.3775	420.9950	344.7690	265.8077	293.6307	314.0447	334.1665	258.4631	418.5987	
40.0	2.0	646.0500	565.0050	420.9950	399.1047	363.3839	348.7747	354.1128	454.2608	288.8922	418.5987	
50.0	2.0	644.2200	565.0050	420.9950	436.5897	363.3839	356.8440	354.1128	578.5439	319.3213	418.5987	
10.0	3.0	121.6500	181.3775	388.1150	236.1183	265.8077	123.3368	294.7355	151.6352	183.8839	387.9498	
20.0	3.0	219.5600	181.3775	388.1150	273.5262	265.8077	156.5194	314.0447	202.2149	214.3130	387.9498	
30.0	3.0	290.4400	181.3775	388.1150	326.7100	265.8077	300.2564	314.0447	281.6987	244.7421	387.9498	
40.0	3.0	379.0900	565.0050	388.1150	381.0330	347.5409	350.3390	354.1128	390.9129	275.1712	387.9498	
50.0	3.0	485.7900	565.0050	388.1150	419.9703	347.5409	357.4117	354.1128	516.2368	305.6003	387.9498	
10.0	4.0	105.3100	181.3775	388.1150	220.9898	265.8077	123.4390	294.7355	134.5016	170.1630	357.3009	
