# Created: Mon Aug 04 00:38:49 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.1
#	input:	input/pagerank-2dim.csv
#	output:	results/pagerank-2dim/out-0.1.csv
#	metrics-output:	results/pagerank-2dim/metrics-0.1.csv
#
# Points picked
# 	(80.0, 3.0)
# 	(50.0, 10.0)
# 	(90.0, 3.0)
# 	(80.0, 6.0)
# 	(60.0, 2.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	10.0	108.3300	134.6550	108.3300	139.6214	169.5382	143.8492	168.0340	106.4700	108.3300	113.3093	
60.0	10.0	113.7300	134.6550	175.1333	142.6153	169.5382	143.8492	168.0340	109.6560	129.7200	113.3093	
70.0	10.0	129.2100	134.6550	175.1333	148.7941	169.5382	143.9033	168.0340	113.9416	151.1100	113.3093	
80.0	10.0	135.0600	134.6550	175.1333	156.2953	169.5382	183.9214	168.0340	119.5799	172.5000	113.3093	
90.0	10.0	141.0700	134.6550	206.4400	163.0817	169.5382	184.1570	168.0340	126.7855	193.8900	113.3093	
100.0	10.0	155.8600	134.6550	206.4400	167.8074	169.5382	184.1570	168.0340	135.6596	215.2800	113.3093	


# Created: Mon Aug 04 00:38:50 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	sampling-rate:	0.1
#	input:	input/pagerank-2dim.csv
#	output:	results/pagerank-2dim/out-0.1.csv
#	metrics-output:	results/pagerank-2dim/metrics-0.1.csv
#
# Points picked
# 	(50.0, 2.0)
# 	(100.0, 2.0)
# 	(50.0, 10.0)
# 	(100.0, 10.0)
# 	(100.0, 7.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	150.3600	171.5920	216.3600	165.2465	170.3176	130.2215	171.5920	153.2057	150.3600	215.9682	
60.0	2.0	179.3700	171.5920	216.3600	174.6386	170.3176	141.5294	171.5920	167.5351	176.7600	215.9682	
70.0	2.0	203.1300	171.5920	216.3600	186.3918	170.3176	156.3149	171.5920	189.3762	203.1600	215.9682	
80.0	2.0	227.5400	171.5920	216.3600	198.4853	170.3176	172.1573	171.5920	219.8237	229.5600	215.9682	
90.0	2.0	251.3500	171.5920	216.3600	208.5777	170.3176	185.8901	171.5920	257.3805	255.9600	215.9682	
100.0	2.0	282.3600	171.5920	216.3600	214.7361	170.3176	195.7722	171.5920	297.2972	282.3600	215.9682	
50.0	3.0	132.0700	171.5920	216.3600	161.3171	170.3176	132.1569	171.5920	146.6000	145.1063	205.4025	
60.0	3.0	152.0000	171.5920	216.3600	170.2463	170.3176	144.2571	171.5920	156.9130	171.5063	205.4025	
70.0	3.0	164.2000	171.5920	216.3600	181.6800	170.3176	159.5036	171.5920	173.3392	197.9062	205.4025	
80.0	3.0	185.0500	171.5920	216.3600	193.6306	170.3176	175.1582	171.5920	197.7859	224.3062	205.4025	
90.0	3.0	206.4400	171.5920	216.3600	203.7845	170.3176	188.1914	171.5920	230.7263	250.7062	205.4025	
100.0	3.0	225.0100	171.5920	216.3600	210.2221	170.3176	197.2777	171.5920	269.6325	277.1062	205.4025	
50.0	4.0	136.5900	171.5920	216.3600	156.9398	170.3176	133.7798	171.5920	141.9633	139.8525	194.8367	
60.0	4.0	151.4200	171.5920	216.3600	165.1093	170.3176	146.4776	171.5920	149.2343	166.2525	194.8367	
