# Created: Mon Aug 04 14:42:14 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.075
#	output:	new-results/terasort/out-0.075.csv
#	metrics-output:	new-results/terasort/metrics-0.075.csv
#
# Points picked
# 	(1.0, 30.0, 2.0)
# 	(4.0, 20.0, 3.0)
# 	(1.0, 20.0, 4.0)
# 	(2.0, 10.0, 5.0)
# 	(1.0, 10.0, 6.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 40.0, 7.0)
# 	(2.0, 40.0, 8.0)
# 	(4.0, 30.0, 9.0)
# 	(1.0, 30.0, 10.0)
x2	x3	x1	objective	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	Discretization	GaussianCurves	RBF	BagClassify	IsoRegression	
4.0	50.0	4.0	147.7500	124.3385	135.0170	151.4441	189.1323	82.7660	132.6594	82.3749	140.5332	129.0750	
1.0	10.0	5.0	100.1100	154.2539	88.3999	97.7712	167.5352	82.7660	149.7646	176.7589	142.8316	110.8367	
1.0	20.0	5.0	150.1000	162.2906	119.0207	123.5601	167.5352	209.1100	176.6112	175.5173	153.9851	110.8367	
1.0	30.0	5.0	199.1300	162.2906	157.1737	149.3490	167.5352	209.1100	199.7348	174.1716	153.9851	110.8367	
1.0	40.0	5.0	256.9800	162.2906	203.9010	175.1379	167.5352	209.1100	211.3478	174.9899	153.9851	110.8367	
1.0	50.0	5.0	306.4200	162.2906	261.0468	200.9269	167.5352	209.1100	209.1203	176.5058	153.9851	110.8367	
2.0	10.0	5.0	72.5300	143.0553	60.4699	77.2487	167.5352	82.7660	123.8714	175.3280	130.9015	110.8367	
2.0	20.0	5.0	101.6800	151.0919	82.3594	103.0376	167.5352	209.1100	145.6604	168.8958	142.0550	110.8367	
2.0	30.0	5.0	128.9900	151.0919	112.1987	128.8266	167.5352	209.1100	166.8995	162.7011	142.0550	110.8367	
2.0	40.0	5.0	158.8800	151.0919	150.3650	154.6155	167.5352	209.1100	180.4357	166.3792	142.0550	110.8367	
2.0	50.0	5.0	191.0900	151.0919	197.6068	180.4044	167.5352	209.1100	183.2986	173.9550	142.0550	110.8367	
4.0	10.0	5.0	51.2800	116.3018	32.8069	36.2038	167.5352	82.7660	92.1376	82.3766	119.5573	110.8367	
4.0	20.0	5.0	71.6400	124.3385	40.2817	61.9927	167.5352	82.7660	96.2314	82.3732	130.7108	110.8367	
4.0	30.0	5.0	97.8800	124.3385	52.4734	87.7816	167.5352	82.7660	105.1780	82.3728	130.7108	110.8367	
4.0	40.0	5.0	100.7400	124.3385	71.3866	113.5706	167.5352	82.7660	115.9511	82.3730	130.7108	110.8367	
4.0	50.0	5.0	124.5700	124.3385	98.8718	139.3595	167.5352	82.7660	125.7978	82.3747	130.7108	110.8367	
1.0	10.0	6.0	90.7600	154.2539	83.9584	85.6866	145.9380	82.7660	137.1841	176.7354	142.8316	110.8367	
1.0	20.0	6.0	125.4400	162.2906	106.8013	111.4755	145.9380	209.1100	161.0581	175.4021	153.9851	110.8367	
1.0	30.0	6.0	174.1600	162.2906	131.5327	137.2644	145.9380	209.1100	182.7787	173.9600	153.9851	110.8367	
1.0	40.0	6.0	247.1600	162.2906	158.4828	163.0533	145.9380	209.1100	195.0397	174.8365	153.9851	110.8367	
1.0	50.0	6.0	296.7600	162.2906	190.3594	188.8423	145.9380	209.1100	195.2781	176.4634	153.9851	110.8367	
2.0	10.0	6.0	67.8700	143.0553	59.3159	65.1641	145.9380	82.7660	112.6279	175.1991	130.9015	110.8367	
2.0	20.0	6.0	88.4400	151.0919	77.9198	90.9530	145.9380	209.1100	131.5917	168.3358	142.0550	110.8367	
2.0	30.0	6.0	113.0500	151.0919	100.5695	116.7419	145.9380	209.1100	151.3994	161.7918	142.0550	110.8367	
2.0	40.0	6.0	145.1200	151.0919	125.9192	142.5309	145.9380	209.1100	165.3874	165.6696	142.0550	110.8367	
2.0	50.0	6.0	169.2200	151.0919	153.8086	168.3198	145.9380	209.1100	170.4156	173.7281	142.0550	110.8367	
4.0	10.0	6.0	50.8700	116.3018	32.4744	24.1192	145.9380	82.7660	87.6025	82.3763	119.5573	110.8367	
4.0	20.0	6.0	75.5600	124.3385	39.5125	49.9081	145.9380	82.7660	90.2468	82.3732	130.7108	110.8367	
4.0	30.0	6.0	95.8300	124.3385	50.5557	75.6970	145.9380	82.7660	98.2902	82.3728	130.7108	110.8367	
4.0	40.0	6.0	101.3000	124.3385	66.6421	101.4859	145.9380	82.7660	109.0129	82.3730	130.7108	110.8367	
4.0	50.0	6.0	143.5000	124.3385	87.9687	127.2749	145.9380	82.7660	119.6656	82.3745	130.7108	110.8367	
1.0	10.0	7.0	80.2900	154.2539	86.9300	73.6020	124.3408	82.7660	126.5816	176.7062	142.8316	107.2375	
1.0	20.0	7.0	122.0600	162.2906	106.1905	99.3909	124.3408	209.1100	147.1180	175.2598	153.9851	107.2375	
1.0	30.0	7.0	152.8100	162.2906	124.2324	125.1798	124.3408	209.1100	166.9150	173.6991	153.9851	107.2375	
1.0	40.0	7.0	193.4800	162.2906	140.8315	150.9687	124.3408	209.1100	179.3208	174.6472	153.9851	107.2375	
