In0.size,In1.size,execTime
1E7,1E7,3.0
1E7,1E8,11.0
1E7,1E9,30.0
1E7,1E10,433.0
1E8,1E7,11.0
1E8,1E8,13.0
1E8,1E9,45.0
1E8,1E10,534.0
1E9,1E7,30.0
1E9,1E8,45.0
1E9,1E9,90.0
1E9,1E10,750.0
1E10,1E7,433.0
1E10,1E8,534.0
1E10,1E9,750.0
1E10,1E10,1234.0
