# Created: Sat Aug 02 14:50:10 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	results/pagerank/values-0.125.csv
#	metrics-output:	results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(2.0, 60.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 70.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 70.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 90.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 80.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 90.0, 9.0)
# 	(2.0, 60.0, 10.0)
# 	(1.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	100.0	4.0	212.2000	132.6946	143.6923	243.3665	136.7558	153.0432	151.5494	152.4071	161.3171	138.7960	
2.0	50.0	4.0	87.2400	126.7892	120.8537	102.0048	112.4371	118.4200	109.9233	107.7814	108.4482	115.3388	
2.0	60.0	4.0	92.2600	127.5800	120.8537	104.6781	113.7673	118.4200	109.9233	107.7814	114.6806	115.3388	
2.0	70.0	4.0	98.0500	128.3768	120.8537	108.2860	115.0975	118.4200	109.9233	107.7814	122.4512	115.3388	
2.0	80.0	4.0	106.8900	129.1507	120.8537	113.2872	116.4277	118.4200	109.9233	107.7814	130.1399	115.3388	
2.0	90.0	4.0	116.4300	129.8768	120.8537	120.3165	117.7579	118.4200	115.3653	107.7814	136.0213	115.3388	
2.0	100.0	4.0	122.1400	130.5360	120.8537	130.2006	119.0881	118.4200	115.3653	107.7814	138.8923	115.3388	
4.0	50.0	4.0	66.9600	78.5658	75.1764	84.6166	77.1017	80.7529	88.4032	80.2600	83.5041	93.1674	
4.0	60.0	4.0	83.3200	78.5659	75.1764	85.6175	78.4318	80.7529	88.4032	80.2600	82.7543	93.1674	
4.0	70.0	4.0	74.3100	78.5661	75.1764	86.6434	79.7620	80.7529	88.4032	80.2600	84.3909	93.1674	
