# Created: Mon Aug 04 00:38:51 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.1
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out-0.1.csv
#	metrics-output:	results/sssp-2dim/metrics-0.1.csv
#
# Points picked
# 	(500.0, 3.0)
# 	(400.0, 5.0)
# 	(200.0, 8.0)
# 	(50.0, 4.0)
# 	(500.0, 10.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
100.0	10.0	119.4600	112.6550	72.9200	180.3062	225.3170	214.6540	217.2940	79.4878	71.8201	98.9198	
200.0	10.0	187.0900	112.6550	152.3900	193.9620	225.3170	214.6540	217.2940	115.4431	124.7844	150.3869	
300.0	10.0	242.3200	287.0533	248.5100	212.3792	225.3170	214.6540	217.2940	164.6038	177.7486	201.8539	
400.0	10.0	273.7800	287.0533	248.5100	231.1624	225.3170	214.6540	217.2940	223.9679	230.7129	253.3209	
500.0	10.0	276.9000	287.0533	306.3250	245.8139	225.3170	214.6540	217.2940	285.7805	283.6771	304.7879	


# Created: Mon Aug 04 00:38:52 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	sampling-rate:	0.1
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out-0.1.csv
#	metrics-output:	results/sssp-2dim/metrics-0.1.csv
#
# Points picked
# 	(50.0, 2.0)
# 	(500.0, 2.0)
# 	(50.0, 10.0)
# 	(500.0, 10.0)
# 	(300.0, 3.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	72.8500	86.0700	86.0700	151.1489	206.8456	77.0857	217.0860	83.7705	72.8500	80.3441	
100.0	2.0	104.1800	304.4300	86.0700	162.1827	206.8456	78.9742	217.0860	91.4449	112.8867	110.0706	
200.0	2.0	170.2600	304.4300	203.2100	194.3078	206.8456	128.8622	217.0860	130.1889	192.9600	169.5236	
300.0	2.0	231.1400	304.4300	203.2100	234.2226	206.8456	274.2844	217.0860	224.8417	273.0333	228.9766	
400.0	2.0	330.8200	304.4300	355.0400	272.6374	206.8456	325.2461	217.0860	349.2713	353.1067	288.4296	
500.0	2.0	433.1800	304.4300	355.0400	300.5664	206.8456	333.5287	217.0860	426.1229	433.1800	347.8826	
50.0	3.0	71.6800	86.0700	86.0700	147.0218	206.8456	77.0796	217.0860	81.7449	76.1550	80.3441	
100.0	3.0	102.3400	304.4300	86.0700	158.1073	206.8456	78.9286	217.0860	87.6358	116.1917	110.0706	
200.0	3.0	158.0300	304.4300	203.2100	190.6333	206.8456	127.9715	217.0860	118.2709	196.2650	169.5236	
300.0	3.0	203.2100	304.4300	203.2100	231.2500	206.8456	273.1729	217.0860	200.0118	276.3383	228.9766	
400.0	3.0	293.9300	304.4300	355.0400	270.4971	206.8456	324.8630	217.0860	325.2642	356.4117	288.4296	
500.0	3.0	335.7500	304.4300	355.0400	299.2152	206.8456	333.3043	217.0860	415.1210	436.4850	347.8826	
50.0	4.0	72.9200	86.0700	86.0700	144.0737	206.8456	77.0693	217.0860	80.1996	79.4600	80.3441	
