# Created: Sat Aug 02 18:50:46 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out.csv
#	metrics-output:	results/sssp-2dim/metrics.csv
#
# Points picked
# 	(400.0, 4.0)
# 	(400.0, 8.0)
# 	(400.0, 2.0)
# 	(500.0, 7.0)
# 	(50.0, 9.0)
# 	(50.0, 3.0)
# 	(200.0, 4.0)
# 	(50.0, 2.0)
# 	(100.0, 4.0)
# 	(200.0, 3.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
500.0	9.0	309.4700	290.2725	296.9800	241.5497	239.2823	226.1116	214.3483	289.3881	336.7712	329.6448	
50.0	10.0	99.2900	80.6575	73.7400	131.4080	145.9731	226.1116	156.5523	58.5917	76.8237	75.1387	
100.0	10.0	119.4600	80.6575	101.4100	140.2579	145.9731	226.1116	156.5523	60.7410	105.7872	103.4172	
200.0	10.0	187.0900	156.9850	156.9850	164.2762	153.8661	226.1116	164.1851	74.0964	163.7143	159.9741	
300.0	10.0	242.3200	290.2725	288.0367	191.8500	239.2823	226.1116	214.3483	120.1459	221.6414	216.5310	
400.0	10.0	273.7800	290.2725	288.0367	216.1310	239.2823	226.1116	214.3483	210.5064	279.5684	273.0879	
500.0	10.0	276.9000	290.2725	296.9800	231.6246	239.2823	226.1116	214.3483	281.8368	337.4955	329.6448	


# Created: Sat Aug 02 18:50:47 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out.csv
#	metrics-output:	results/sssp-2dim/metrics.csv
#
# Points picked
# 	(50.0, 2.0)
# 	(500.0, 2.0)
# 	(50.0, 10.0)
# 	(500.0, 10.0)
# 	(300.0, 3.0)
# 	(500.0, 3.0)
# 	(500.0, 7.0)
# 	(300.0, 10.0)
# 	(500.0, 4.0)
# 	(300.0, 4.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	72.8500	86.0700	86.0700	155.7576	210.3174	259.7620	232.3228	115.3124	70.5771	82.4950	
100.0	2.0	104.1800	214.5567	86.0700	165.4390	210.3174	259.7620	232.3228	127.9812	98.9172	109.9798	
200.0	2.0	170.2600	214.5567	214.5567	196.7836	210.3174	259.7620	232.3228	170.2322	155.5973	164.9495	
300.0	2.0	231.1400	214.5567	214.5567	238.7117	265.4236	259.7620	232.3228	239.0465	212.2775	219.9192	
400.0	2.0	330.8200	384.4650	331.6460	281.5151	319.3680	259.7620	266.0196	322.1746	268.9576	274.8888	
500.0	2.0	433.1800	384.4650	331.6460	315.1439	319.3680	259.7620	266.0196	392.8579	325.6377	329.8585	
